,dog,height,weight,life,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,color,marking,health,grooming,excercise,training,nutrition
122,golden-retriever,~23-24 inches (male)~21.5-22.5 inches (female),~65-75 pounds (male)~55-65 pounds (female),10-12 years,5,5,5,4,2,2,Double,Medium,5,4,3,5,5,3,1,4,3 of 1,Dark Golden-Golden-Light Golden,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Goldens are generally healthy dogs, and responsible breeders will screen their breeding stock for health conditions including elbow and hip dysplasia; eye conditions such as juvenile cataracts, pigmentary uveitis, and progressive retinal atrophy; and certain heart diseases, including subvalvular aortic stenosis. The Golden's ears should be checked weekly for signs of infection, and the teeth should be brushed often.","Goldens heavily shed their thick, water-repellant double coat once or twice a year, and they also shed more moderately on a continuous basis. Most of the time, a good brushing-out with a slicker brush once or twice a week will remove much of the dead hair before it has a chance to fall onto the furniture. During times of heavy shedding, these brushing sessions turn into daily affairs. Baths help to loosen the dead hairs, but the dog must be completely dry before brushing begins. Otherwise, Goldens only need occasional baths to keep them clean. As with all breeds, the Golden's nails should be trimmed regularly.","Like most Sporting breeds, Goldens need plenty of daily exercise. A Golden who doesn't get enough exercise is likely to engage in undesirable behavior. Goldens make great companions on long runs and bike rides, although consultation with a vet is recommended before starting strenuous or high-impact activities that might cause stress to the dog's bones and joints. Many Goldens happily get their exercise on hunting trips or at field trials, as well as by participating in canine sports such as agility, obedience, and tracking.","As with all breeds, early socialization and puppy training classes are recommended. Gently exposing the puppy to a wide variety of people, places, and situations between the ages of seven weeks and four months will help the Golden develop into a well-adjusted, well-mannered adult. Puppy training classes serve as part of the socialization process and help the owner learn to recognize and correct any bad habits that may be developing. Obedience training strengthens the bond between dog and owner'¿a Golden wants nothing more than to please his human. Golden Retrievers are outgoing, loyal, and eager to do your bidding, which makes them very easy to train."
123,gordon-setter,~24-27 inches (male)~23-26 inches (female),~55-80 pounds (male)~45-70 pounds (female),12-13 years,5,3,3,3,2,4,Double,Medium,3,3,4,4,5,5,3,4,113 of 1,Black & Tan-Red-Tan,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Gordons are generally healthy dogs, but there are a few concerns to be aware of bloat, a sudden, life-threatening stomach condition, can occur in the breed. Gordon owners should learn the signs of bloat and what to do should they occur. Cancer is the most common cause of death for elderly dogs'¿in all breeds. There is not one specific type of cancer more prevalent in Gordons; young dogs dying of cancer is unusual. Responsible breeders will test their stock for conditions the breed can be prone to, including screening for elbow and hip dysplasia and eye conditions, and DNA testing for a number of health-related issues.","Brushing at least weekly is essential to prevent matting. Shedding is minimal if the dog is brushed regularly. Monthly grooming recommended for health includes trimming the hair on the feet, trimming the nails, trimming inside and around the ears, trimming around the vent/tail area, and checking the teeth for plaque. Bathing monthly is recommended. Dry skin and dandruff can be prevented with bathing and conditioning.","Gordons were bred to be personal hunting dogs, and they also served as nannies. They live to cuddling by your side or at your feet, as well as running in a field. Their genetic makeup calls for them to have a drive to run, so they do need exercise. They can live in an apartment but if so, they need daily exercise, which can be met by walking, jogging, or biking with the dog. If they have a yard in which to run, they will self-exercise, though a Gordon will always be happiest doing something with their bonded owner. Being with their owner is what they live to do. Caution: To prevent bloat, never exercise the dog one-half hour before or one-half hour after feeding.","A few, simple lifesaving training commands are mandatory. A puppy or dog must be trained to know the command 'come,' and to come when called; to know his name and respond; and to obey the word 'no.' Gordons are stubborn yet very soft and loving, and they live to please their owner. They are very smart and learn quickly. The best training is for them to have a job to do, and the best job they can have is spending time with their owner'¿whether being trained or having fun. They are closely bonded to their family and live to be with them, but they are fine being alone when family is away. Early socialization and puppy training classes are recommended for Gordon puppies and help to ensure they grow into well-adjusted, well-mannered companions."
124,grand-basset-griffon-vendeen,~15.5-18 inches,~40-45 pounds,13-15 years,5,3,4,3,2,2,Wiry-Double,Medium,5,4,3,4,3,5,4,4,189 of 1,Black & Tan-Fawn-White & Black-White & Gray-White & Lemon-White & Orange-White & Sable-White Black & Tan-White & Grizzle,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Like all breeds there may be some health issues. Some dogs may be faced with these health challenges in their lives, but the majority of Grand Basset Griffon VendÃ©ens are healthy dogs. Working with a responsible breeder, those wishing to own a Grand Basset Griffon VendÃ©en can gain the education they need to know about specific health concerns within the breed. Good breeders utilize genetic testing of their breeding stock to reduce the likelihood of disease in their puppies.","The Grand Basset Griffon VendÃ©en requires only a weekly brushing with a slicker brush and comb. Beyond regular weekly grooming, the occasional bath will keep him clean and looking his best. Grooming can be a wonderful bonding experience for you and your pet. Their strong fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting and cracking. Their ears should be checked regularly to avoid a buildup of wax and debris which can result in an infection. Teeth should be brushed regularly.","The Grand's quiet, docile demeanor makes them excellent companions and house dogs. Be prepared to give your new GBGV lots of exercise. They will not thrive as a couch potato. You must have a securely fenced-in area for exercise, since these hunting dogs cannot resist the urge to chase. They are sturdy and do not slow down with age, so plan on keeping their exercise routine going into their teenage years.",
125,great-dane,~30-32 inches (male)~28-30 inches (female),~140-175 pounds (male)~110-140 pounds (female),7-10 years,5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4,17 of 1,Black-Black & White-Blue-Blue & White-Blue Brindle-Brindle-Chocolate-Fawn-Harlequin-Merle-Silver-White-Chocolate & White-Chocolate Brindle-Mantle-Mantle Merle-Merlequin,White Markings-Merle Markings-Black Markings-Fawn Markings-Black Mask-Blue Mask-Piebald-Brindle Markings-Blue Markings-Chocolate Markings-Chocolate Mask,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Bloat, or gastric dilatation-volvulus (GDV), is the number-one killer of Danes. Owners should educate themselves to recognize the signs that bloat could be happening and what to do if so. Many breeders and owners consider a surgery called a prophylactic gastropexy ('preventative tack') that can help prevent some of the more serious aspects of GDV. Other health issues that can affect the breed include eye and cardiac diseases, hypothyroidism and autoimmune thyroiditis, and hip dysplasia. A responsible breeder will screenbreeding stock for conditions that can affect the breed.","For most of the year the Great Dane's short, smooth coat doesn't shed much, but given the size of the dog, this can still amount to a fair bit of hair. Weekly brushing with a medium-bristle brush, a rubber grooming mitt or tool, or a hound glove will help keep shedding to a minimum. During shedding season once or twice a year, however, hair loss will be more profuse, with a daily brushing ideal. Great Danes need a bath only occasionally, unless they get into something messy. As with all breeds, the Great Dane's nails should be trimmed regularly, because overly long nails can cause the dog pain as well as problems walking and running.","Great Danes may seem sedate, but they require daily exercise appropriate to their age. A brisk walk two or three times a day can be enough. They can make good companions on jogs or hikes, but you must wait until the dog is 2 years old to avoid damage to growing joints. Because of the risk of bloat, avoid rigorous exercise around mealtimes. Danes tend to follow their nose wherever a scent takes them, so they should always be kept on a leash and only allowed loose in areas secured with a tall fence. Many Great Danes enjoy participating in agility, obedience, tracking events, weight pulls, and sports such as flyball.","Early socialization and puppy training classes are recommended. For a breed as large and powerful as the Great Dane, obedience training is a must. Socialization'¿gently exposing the puppy to a wide variety of people, places, and situations'¿will help him develop into a well-adjusted adult. Great Danes are sociable, friendly, and eager to please, and they respond well to firm, consistent training methods. They need to have human contact, affection, and socialization with other people and animals."
126,great-pyrenees,~27-32 inches (male)~25-29 inches (female),~100 pounds & up (male)~85 pounds & up (female),10-12 years,5,3,3,3,2,3,Double,Medium,3,3,5,3,3,3,3,3,63 of 1,White,Tan Markings-Gray Markings-Badger Markings-Reddish Brown Markings,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Ethical Pyr breeders have excelled in their commitment to health issues. The Great Pyrenees Club of America has stressed having all dogs tested for a variety of conditions that can affect the breed, including elbow and hip dysplasia, eye disorders, luxating patellas, and neurological and immune-mediated disorders. Some cancers occur in the breed, as well as bloat, a life-threatening condition where the stomach suddenly distends and sometimes twists. All Pyr owners should educate themselves to know the signs of bloat, and what to do should it happen.","For all their abundant fur, Pyrs don't require a lot of grooming, as their coat is dirt- and tangle-resistant. They have a double coat, with a long outer coat and a soft undercoat. They will shed this undercoat with great enthusiasm'¿'leading to a snowstorm,' one owner says. She laughs, 'They shed in the spring, after whelping, in honor of certain Druid festivals, and after you enter them in a show!' A thorough brushing with a pin brush or slicker brush at least once a week will help to reduce the shed hair that ends up all over the house. The Pyr's nails should be trimmed regularly, as overly long nails can cause the dog discomfort. The teeth should be brushed often, using a toothpaste designed for dogs.","Pyrs are not a highly active breed. The breed was developed to be a livestock guardian and has been used since ancient times to protect flocks from wolves, bears, and human foes. When working, they will patrol their territory but tend to conserve their energy for fending off whatever may threaten their flock. Moderate exercise such as walks with their owner will help keep them healthy and happy. The breed also exercises mind and body by participating in canine activities such as obedience trials and cart-pulling.","Pyrs were bred to be independent thinkers, to work without guidance watching and protecting their flock. Although they are intelligent, standard obedience training will be met with great indifference. They don't see the point of all that sitting, heeling, and staying. They will let their boredom show by performing any task you deem important with extremely slow responses. Nonetheless, early socialization and puppy training classes are recommended to help give the Pyr a good start in becoming a well-adjusted, well-mannered companion."
127,greater-swiss-mountain-dog,~25.5-28.5 inches (male)~23.7-27 inches (female),~115-140 pounds (male)~85-110 pounds (female),8-11 years,5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4,78 of 1,"Red & White-Black, White & Red-Blue White & Tan",,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The GSMD does not have any breed-specific disorders but can have health problems that affect large-breed dogs. This can include orthopedic issues, although overall the GSMD's orthopedics tend to be very good for a large breed. Splenic torsion, unrelated to gastric torsion, occurs more often in this breed than in other breeds. Owners should be aware of the possibility of bloat and know the symptoms, and what to do should it occur. Urinary incontinence is fairly common in puppies and spayed bitches. Epilepsy can occur in any pedigree; genetic markers for this have not yet been identified. Overall the GSMD tends to be a very healthy breed. More information on breed health can be found on the website of the Greater Swiss Mountain Dog Club of America.","This is basically a 'wash and wear' breed, but they are double coated and do blow their undercoat, usually twice a year. When this is occurring they benefit from a good bath and blow-out, followed by a thorough brushing with a rake or shedding tool. For the rest of the year the occasional bath and brushing usually does the trick. They need regular nail-trims and ear and teeth cleaning.",The Greater Swiss Mountain Dog requires moderate exercise. A walk around the block or a romp in the woods generally will satisfy their daily exercise needs. This breed is much better suited for the person looking for a hiking companion than the person wanting a bicycling or marathon-running partner.,"The GSMD is very food motivated and responds well to training using food rewards. They can also have a stubborn streak, however, so their owners must be more determined than they are. It is not recommended to use any harness-type training device on this breed. They are a draft breed, and the use of a harness (other than for draft work) just tends to make them pull that much harder. As with all dogs, early socialization and puppy training classesare recommended."
128,greyhound,~28-30 inches (male)~27-28 inches (female),~65-70 pounds (male)~60-65 pounds (female),10-13 years,4,3,4,2,1,1,Smooth,Short,3,3,3,4,3,4,3,3,132 of 1,Black-Black & White-Black Brindle & White-Blue Fawn-Blue-Blue & White-Blue Brindle-Fawn-Fawn & White-Liver-Liver & White-Red-Red & White-Red Brindle-Red Brindle & White-White-White & Black-White & Fawn-White & Liver-White & Red-Blue Brindle & White-Blue Fawn & White-Black Brindle-White & Blue-White & Black Brindle-Liver Brindle-White & Blue Brindle-White & Blue Fawn-White & Liver Brindle-White & Red Brindle,Ticked-Black Mask-Parti-Color-Solid,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Greyhounds are overall very healthy dogs, although there are a few conditions the breed can be prone to. As are most deep-chested breeds, the Greyhound is susceptible to bloat and gastric torsion, a sudden and life-threatening enlargement of the stomach that is sometimes accompanied by twisting. Owners should be aware of the symptoms of bloat and seek medical attention immediately if they occur. A condition called Greyhound neuropathy seems to be isolated in the breed. Other disorders that can occur include cardiac and eye conditions. Responsible breeders screen their stock for conditions that can affect the breed.","The Greyhound's short, smooth coat requires little grooming beyond regular baths and weekly rubdowns with a damp cloth or hound glove. His strong, fast-growing nails should be trimmed regularly if not worn down naturally, as overly long nails can cause the dog discomfort. The ears should be checked at least weekly for any buildup of wax or debris that could result in an infection, and cleaned if needed. The teeth should be brushed regularly'¿daily if possible'¿with a toothpaste formulated for dogs.","The Greyhound is the cheetah of the dog world. While perfectly happy to lounge around the house all day, he is capable of amazing speed and energy when faced with potential prey'¿or the chance to chase a tennis ball or a coursing lure. Greyhounds require a regular schedule of exercise time and opportunities to (safely) run full-out. They must only be allowed off leash in a securely fenced area, as they may not be able to resist the urge to run off in pursuit of perceived prey.","Training a Greyhound can be frustrating for anyone who does not understand the genetic origins of the Greyhound temperament. As a sighthound, or coursing breed, the Greyhound was developed to pursue game by sight rather than by scent. They course game independently of humans, making decisions on their own, unlike other types of hunting breeds that require a bit of direction. A Greyhound should be socialized from an early age with small animals and children. Keep training lessons short and sweet, as the Greyhound will become bored very easily. With his mild, sensitive personality, he needs a gentle approach in training, never harsh. Greyhounds are more interested in doing things *with* you than *for* you. They are very affectionate with their families, though they tend to be reserved with strangers."
129,hamiltonstovare,~19-24 inches,~40-75 pounds,14-17 years,5,5,3,3,2,2,Smooth,Short,5,4,4,3,4,4,3,4,,Tri-Colored,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","As a breed, Hamiltonstovare are very healthy and rarely diagnosed with inheritable diseases. Hamiltonstovare can get hip dysplasia and epilepsy, but it rarely happens. Care should be taken to not over-exercise them before their growth plates have closed. They are also sensitive to heat and cannot be outside for long periods of time in temperatures over 80 degrees.",Hamiltons require very little grooming and are very easy to keep clean. They are seasonal shedders that only shed low to moderately in the spring and fall. Hamiltonstovare also do not drool and rarely have a doggy odor. A bath once a month and proper nail and dental care are all that are required to keep them looking their best.,"Hamiltonstovare are an active breed but they do have an off switch. They are ready to warm the sofa one day and go for a 10 mile hike the next. Daily, they need at least a 20 minute free-run outside and also something to stimulate their mind. They are a highly intelligent breed that thrives on being with their people and doing things that make their people happy. They are hounds and will follow their nose so a securely fenced yard is recommended.","Hamiltonstovare are a highly perceptive breed and adore their people. They make excellent service dogs, especially for medical alerts and psychological alerting. They are also wonderful family dogs and generally get along with everybody and everything. Hamiltons do have a high prey drive though, so they may not be the best dog for homes with rodents or even some cats as pets. They are highly food motivated and easily trainable to do just about anything."
130,hanoverian-scenthound,~19-21 inches,~79-99 pounds,10-14 years,3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3,,Brindle-Red,Black Mask,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Hanoverian Scenthounds are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The Hanoverian Scenthound's grooming requirements are quite low. He has a short coat which will rarely require brushing and he should be bathed as rarely as possible. The ears of the Hanoverian Scenthound, however, should be regularly checked for signs of infection or irritation. His nails need regular clipping and his teeth should be brushed when needed.","The Hanoverian Scenthound needs a good deal of daily physical activity. If deprived of proper physical and mental stimulation, it may likely lead to some unwelcome behavioral patterns including destructiveness, nervousness and constant barking. The Hanoverian Scenthound should be provided with enough space to roam and play. He has a great stamina and will make a willing hiking, camping or jogging companion.","Training a Hanoverian Scenthound can be challenging because of its independent nature. They require a handler with an assured and strong personality. The breed will ignore commands from a human who takes a lesser position, in its view, in the pack hierarchy."
131,harrier,~19-21 inches,~45-60 pounds,12-15 years,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4,188 of 1,Black White & Tan-Lemon & White-Red & White,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","While Harriers are generally healthy dogs, there are several health and genetic screening considerations specific to the breed. Responsible breeders test their stock for conditions the breed can be prone to and communicate with other dedicated breeders regularly, working together for breed health and the preservation of the breed's qualities. A Harrier's ears should be checked weekly for signs of infection, and the teeth should be brushed often, using a toothpaste designed for dogs. Regular visits to the vet for checkups and parasite control help to ensure the dog a long, healthy life.           

Recommended Health Tests from the National Breed Club:       Hip Evaluation     Ophthalmologist Evaluation     Read the Official Breed Club Health Statement.","The Harrier's short, glossy coat requires minimal maintenance. A weekly brushing with a soft-bristle brush or a hound glove will help to remove dirt and loose hair and keep the dog looking his best, and an occasional bath(using a gentle shampoo) can help keep him from having a doggy odor. The ears should be regularly inspected and cleaned if needed with soft gauze and an ear-cleaning solution'¿the dog's breeder or the veterinarian can recommend a good brand to use. The nails should be trimmed often if not worn down naturally, as overly long nails can cause the dog discomfort and problems walking and running.","Harriers were bred specifically to spend hours in the field chasing after prey, so they need ample exercise every day'¿without sufficient exercise, a Harrier may become bored and destructive. If they get all the activity they need, they can be adaptable to a range of home situations. While they are happiest living indoors with their human family, they make great companions on long walks or hikes. Because they were bred to hunt and chase animals and to follow a scent, they should only be allowed loose in areas that are securely fenced, and any walks must be taken on a leash. The breed also exercises mind and body by participating in canine sports such as tracking, rally, coursing ability tests, and other activities that can be enjoyed together by dog and owner.","Like many other hounds, Harriers are loving and amiable but also tend to have an independent nature, and they can be stubborn. Training takes consistency, patience, and an understanding of scent hound temperament. They respond well to calm, loving, but firm leadership. Early socialization and puppy training classes are recommended and help to ensure that the Harrier grows into a well-adjusted, well-mannered companion."
132,havanese,~8.5-11.5 inches,~7-13 pounds,14-16 years,5,5,5,2,3,1,Double-Silky,Long,5,5,3,5,4,3,4,3,25 of 1,Black-Black & Silver-Black & Tan-Blue-Blue Brindle-Chocolate-Cream-Fawn-Fawn Brindle-Gold-Red-Red Brindle-Red Sable-Silver-White-Black Brindle-Silver Sable-Silver Brindle-Fawn Sable-Chocolate Brindle-Chocolate Sable-Gold Brindle-Gold Sable-Black & Tan Brindle-Black & Silver Brindle,White Markings-Tan Points-Cream Markings-Parti-Color-Silver Markings-Irish Pied-Silver Points-Parti Belton,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Havanese are generally healthy and fairly long-lived. There are several conditions that the breed can be prone to, including eye disorders, chondrodysplasia, deafness, heart murmurs, Legg-Calve-Perthes disease (which affects the hip joint), and patellar luxation. A responsible breederdoes health clearances on all breeding stock. The Havanese Club of Americapresents awards for members' dogs passing and registering Orthopedic Foundation for Animals (OFA) results for at least four specific health tests for the breed: an annual eye exam (CAER), a hearing test (BAER), a hip x-ray, and patella (knee) certification.","The long, soft, and silky coat of the Havanese needs to be groomed daily to be kept free of mats and tangles. This can be done by gently running a comb or soft brush over the dog while he is on your lap. Pet owners often choose to have their dog's coat clipped to a short trim to reduce grooming time. The Havanese should also be bathed occasionally as needed. The corners of the eyes should be gently cleaned daily to prevent tear-stain of the lighter-colored hair in the area. Check the ears often to remove excess wax or accumulated debris, and wipe out the inside of the ear-flap with a slightly moistened gauze or paper towel.","The Havanese has moderate exercise needs. They will benefit from a brisk daily walk or a fun playtime with their owner in the backyard, as they are happiest when someone is with them. Romping inside the home can also provide enough activity. Never over-exercise a Havanese of any age. If they are panting and struggling to keep up, it is time to go home. Havanese do well in both houses and apartments, but they are not happy left alone for hours at a time.","Havanese are highly intelligent and eager to please, and they are easily trained so long as you use only positive methods. This can be a sensitive breed, so care must be taken to not scold them harshly. Socialization from an early age is very important. Expose them calmly to a wide variety of new places and new people, always ensuring that the experiences are positive and not intimidating. Gentle, patient training will result in a wonderful companion dog. They are affectionate with people and get along with other nonaggressive pets."
133,hokkaido,~18-20 inches,~44-66 pounds,12-15 years,5,3,3,3,2,2,Double,Medium,3,3,5,3,4,4,3,4,,Black-Black & Tan-Brindle-Red-White-Red Sesame-Sesame,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Well-bred Hokkaido are generally very healthy, living 12-15 years average... However, like all breeds they are prone to hereditary diseases. Hokkaido are prone to collie eye anomaly, hip dysplasia, luxating patella, heart murmurs, idiopathic seizures, anxiety, psychogenic polydipsia, and pica. When living with a Hokkaido, it is important to monitor them frequently to make sure they are not chewing on items which can cause them harm. Inspect all toys carefully and frequently, and throw away toys that are broken or contain small pieces which can be ingested.","The Hokkaido is a fairly self-managed breed. The natural oils on their skin and coat help to keep them clean and dry despite unfavorable weather conditions. No trimming or shaving of their fur is required or recommended, just regular brushing to remove dead fur and keep the coat healthy. Hokkaido blow their undercoat roughly twice yearly. During this time, a bath and frequent brushing to remove the dead fur is necessary. Their nails should be trimmed regularly to avoid overgrowth and cracking. Teeth should be brushed regularly.","Hokkaido are generally a very active breed. They are best suited for an active family who enjoys spending their time outdoors hiking, biking, jogging, and/or camping. Like all working breeds, it's best to give them a 'job' to do. Hokkaido excel at performance events such as agility, rally, flyball, weight pull, lure coursing, dock diving, and more. Without proper physical and mental stimulation, Hokkaido can become bored, anxious, and hyperactive in your home. If letting your Hokkaido run in your backyard, you should have a six foot fence, as they are good jumpers. For daily walks, a strong leash and a properly fitted martingale collar or harness is recommended.",add something!
134,hovawart,~23-28 inches,~65-90 pounds,10-14 years,5,4,4,3,2,2,Double,Medium,4,4,5,4,4,3,1,4,,Black-Blonde,Gold Markings,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Hovawarts are quite healthy and live to a ripe old age. One can expect an average lifespan in the 10 to 14 year range and owners should be prepared to dedicate this amount of time to their care. There are no known issues of breed-specific diseases and hip dysplasia rates have been calculated at less than 5%. For a large breed dog, this is an exceptionally low rate.","Because the Hovawart does not have much of an undercoat, it does not need much grooming. Apart from the period of shedding, an occasional brushing will suffice. Beyond this, the occasional bath will keep them clean and looking their best. Their strong fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting and cracking. Their ears should be checked regularly to avoid a buildup of wax and debris which can result in an infection. Teeth should be brushed regularly.","Hovawarts are a large breed so the more running room they have, the happier they will be. It is preferable to have a large fenced yard, but substitute exercises such as hiking, trips to a dog park, etc. can make up for some lack in this area. It needs at least a one-hour walk, plus 3 or 4 shorter walks to do 'its business' daily. Training for dog sports like agility, obedience and rally can also be a great way to give your dog exercise. Apartments are not typically large enough, or have room enough, for the desired activities.","The Hovawart's guarding instincts are best controlled by socialization and exposure to different situations and stimuli. This will allow the dog to understand how each situation should be approached and utilizes the dog's intelligence to assure a measured response. Absent directions, the Hovawart will make his own decision, and it may not match what you want him to do. Training is needed so the dog understands how you want it to make decisions and not rely on its instincts. Appropriate guarding instincts are a learned process, and the dogs need to be educated by exposing them to these situations.



 It is up to the Hovawart owner to be more alert, intentional, directive, and consistent than his dog. The Hovawart needs a leader it can trust. He does not respond positively at all to harsh methods of training; it is much more important to create and sustain the fundamental trust that it wants to feel toward its pack leader."
135,ibizan-hound,~23.5-27.5 inches (male)~22.5-26 inches (female),~50 pounds (male)~45 pounds (female),11-14 years,5,3,5,2,1,1,Wiry-Smooth,Short,3,4,3,4,3,5,3,5,182 of 1,Red-Red & White-White-White & Red,White Markings,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Ibizan Hounds are generally healthy dogs, though there are some conditions the breed can be prone to. These include hip dysplasia, eye disease, autoimmune thyroiditis, and congenital deafness. Responsible breeders will screen their stock for conditions that can affect the breed. The website of the breed's national parent club The Ibizan Hound Club of the United Statesprovides detailed information on breed health. Regular visits to the vet for checkups and parasite control help to ensure the dog a long, healthy life.","Ibizan coats come in smooth and wire varieties, with a wide range in how profuse the wire coat can be. Both varieties should be groomed upright earsshould be checked weekly to avoid a buildup of wax and debris, which could result in an infection. The teeth should be brushed often, daily if possible, using a toothpaste formulated for dogs.","Beezers are very athletic and require a lot of exercise. It is not uncommon for an Ibizan to be able to jump five or six feet from a standing position, so a tall, secure fence is the order of the day for owners of this breed. The Beezer will enjoy vigorous daily play-sessions with his owner or with other dogs, or he can go for long walks a couple of times a day. The Ibizan has a very strong prey drive and should not be allowed off leash in an uncontrolled setting, as he is apt to take off on a chase after perceived prey at a moment's notice. The breed makes a wonderful companion for a regular jogger.","Versatile and trainable, Ibizans make excellent family pets. The breed is even-tempered, affectionate, and loyal. The Ibizan is bit aloof but a sweet-natured, family-oriented housemate. Alert and watchful of strangers, they are nevertheless friendly and outgoing dogs. Puppies should be cheerful, playful, and healthy. Early socialization and puppy training classes are recommended. Ibizans excel in a number of canine sports, including lure coursing, obedience, agility, rally, and tracking."
136,icelandic-sheepdog,~18 inches (male)~16.5 inches (female),~30 pounds (male)~25 pounds (female),12-14 years,5,5,4,3,2,2,Double,Medium,3,3,4,4,5,4,4,5,138 of 1,Black-Black & White-Chocolate-Chocolate & Tan-Cream-Cream & White-Fawn-Fawn & White-Gold & White-Golden-Gray-Gray & White-Red-Red & White-Sable-Sable & White-Tan-Tan & White-White Tan & Black-Chocolate & White,White Markings-Tan Markings-Gray Markings-Black Markings-Black Mask-Cream Markings-Piebald-Chocolate Markings-Reddish Brown Markings,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Icelandic Sheepdogs are generally very healthy dogs. They can be prone to a few health conditions, including hip and elbow dysplasia and patellar luxation. Responsible breeders test their stock for conditions that can occur in the breed. An Icelandic's ears should be checked regularly for signs of infection, and the teeth should be brushed often, using a toothpaste designed for dogs. Regular visits to the vet for checkups and parasite control help to ensure the dog a long, healthy life.","The Icelandic Sheepdog has a profuse double coat, with a longer outer coat and a dense undercoat. Icelandic Sheepdogs shed a fair amount, even more so during shedding season, which occurs twice a year. Weekly brushing'¿daily during shedding season'¿will help to remove dirt and loose hair and keep the dog looking his best. Any tangles can be worked out with a slicker brush or metal comb. As with all breeds, the nails should be trimmed regularly, as overly long nails can be painful to the dog.","Icelandic Sheepdogs enjoy outdoor activities and make great companions on long walks or hikes. Moderate exercise every day will help keep them healthy and happy. This can come in the form of walks and play sessions. The breed also exercises mind and body by participating in canine sports such as obedience, herding, tracking, agility, rally, and other activities that can be enjoyed by dog and owner.","Early socialization and puppy training classes are recommended and help to ensure that the Iceland Sheepdog grows into a well-adjusted, well-mannered companion. Icelandics are lively, intelligent, and eager to please, so they are generally easy to train. They don't respond well to harsh corrections or training methods. They love being the center of their family and are unhappy if they are regularly left alone for long periods of time."
